,Ticker,Open,High,Low,Close,Adj Close,Volume,Percent_Change_From_Startdate,Change_Close_Less_Open
2021-01-13 13:30:00-05:00,UUP,29.55249977,29.66749954,29.51000023,29.57555008,29.57555008,5091,12.79767679,0.023050308
2021-01-13 14:30:00-05:00,UUP,29.65999985,29.65999985,29.35000038,29.35000038,29.35000038,3398,11.93745671,-0.309999466
2021-01-13 15:30:00-05:00,UUP,29.35250092,29.47249985,29.35250092,29.38249969,29.38249969,0,12.06140528,0.029998779
2021-01-14 09:30:00-05:00,UUP,29.94000053,30.45247459,29.94000053,30.40674973,30.40674973,16192,15.96777468,0.466749191
2021-01-14 10:30:00-05:00,UUP,30.38500023,30.64497566,30.38500023,30.62249947,30.62249947,11422,16.79061887,0.237499237
2021-01-14 11:30:00-05:00,UUP,30.76334953,30.77499962,30.55500031,30.63750076,30.63750076,11805,16.84783206,-0.12584877
2021-01-14 12:30:00-05:00,UUP,30.66500092,30.69249916,30.46750069,30.49250031,30.49250031,7830,16.29481733,-0.17250061
2021-01-14 13:30:00-05:00,UUP,30.46750069,30.58749962,30.4375,30.44057465,30.44057465,6028,16.09677896,-0.026926041
2021-01-14 14:30:00-05:00,UUP,30.47500038,30.53499985,30.25,30.25250053,30.25250053,4681,15.37948637,-0.222499847
2021-01-14 15:30:00-05:00,UUP,30.42000008,30.42250061,30.13999939,30.22500038,30.22500038,4291,15.27460402,-0.194999695
2021-01-15 09:30:00-05:00,UUP,30.34250069,30.34250069,28.65437508,28.83749962,28.83749962,0,9.982838954,-1.505001068
2021-01-15 10:30:00-05:00,UUP,28.77750015,29.24995041,28.75749969,29.24995041,29.24995041,6561,11.55587786,0.472450256
2021-01-15 11:30:00-05:00,UUP,29.29680061,29.30999947,29.00250053,29.01437569,29.01437569,15501,10.65742352,-0.282424927
2021-01-15 12:30:00-05:00,UUP,29.08625031,29.34749985,29.08625031,29.33250046,29.33250046,6522,11.87071406,0.246250153
2021-01-15 13:30:00-05:00,UUP,29.28499985,29.30500031,29.03499985,29.03499985,29.03499985,7391,10.73608165,-0.25
2021-01-15 14:30:00-05:00,UUP,29.13249969,29.15500069,28.97274971,28.97274971,28.97274971,3093,10.49866693,-0.159749985
2021-01-15 15:30:00-05:00,UUP,28.96999931,28.96999931,28.75,28.76499939,28.76499939,8999,9.70633159,-0.204999924
2021-01-19 09:30:00-05:00,UUP,29.45249939,29.85000038,29.45249939,29.77747536,29.77747536,12908,13.5677961,0.324975967
2021-01-19 10:30:00-05:00,UUP,29.85250092,29.85750008,29.68499947,29.72500038,29.72500038,7228,13.3676627,-0.127500534
2021-01-19 11:30:00-05:00,UUP,29.76000023,29.90999985,29.70000076,29.85000038,29.85000038,8441,13.84439803,0.090000153
2021-01-19 12:30:00-05:00,UUP,29.88999939,30.17749977,29.88249969,30.15999985,30.15999985,6724,15.02669961,0.270000458
2021-01-19 13:30:00-05:00,UUP,30.14500046,30.28224945,30.14500046,30.23250008,30.23250008,4403,15.30320697,0.087499619
2021-01-19 14:30:00-05:00,UUP,30.22249985,30.50499916,30.21999931,30.28249931,30.28249931,6524,15.49389819,0.059999466
2021-01-19 15:30:00-05:00,UUP,30.32749939,30.5,30.32749939,30.44750023,30.44750023,14759,16.12319232,0.120000839
2021-01-20 09:30:00-05:00,UUP,31.05999947,31.27000046,30.79332542,31.12249947,31.12249947,0,18.69756019,0.0625
2021-01-20 10:30:00-05:00,UUP,31.07999992,31.10750008,30.43250084,30.51250076,30.51250076,18588,16.37109673,-0.567499161
2021-01-20 11:30:00-05:00,UUP,30.42499924,30.51499939,30.34250069,30.4320755,30.4320755,10015,16.06436422,0.007076263
2021-01-20 12:30:00-05:00,UUP,30.42499924,30.56999969,30.41500092,30.48500061,30.48500061,8288,16.26621437,0.060001373
2021-01-20 13:30:00-05:00,UUP,30.54000092,30.54000092,30.37000084,30.37000084,30.37000084,5047,15.82761874,-0.170000076
2021-01-20 14:30:00-05:00,UUP,30.49500084,30.58499908,30.44000053,30.58499908,30.58499908,2301,16.64759682,0.089998245
2021-01-20 15:30:00-05:00,UUP,30.57500076,30.64247513,30.5279007,30.5625,30.5625,9198,16.56178795,-0.012500763
2021-01-21 09:30:00-05:00,UUP,30.83749962,30.97500038,30.38602448,30.83749962,30.83749962,14643,17.61060422,0
2021-01-21 10:30:00-05:00,UUP,30.89500046,31.0013752,30.77249908,30.92000008,30.92000008,10012,17.92525128,0.024999619
2021-01-21 11:30:00-05:00,UUP,30.96999931,30.96999931,30.53249931,30.53375053,30.53375053,6097,16.45214086,-0.436248779
2021-01-21 12:30:00-05:00,UUP,30.73152542,30.91497421,30.62999916,30.91497421,30.91497421,4283,17.90608323,0.183448792
2021-01-21 13:30:00-05:00,UUP,31.02499962,31.19750023,31.02499962,31.12750053,31.12750053,3943,18.71663367,0.102500916
2021-01-21 14:30:00-05:00,UUP,31.15999985,31.34250069,31.13999939,31.34250069,31.34250069,5033,19.53661902,0.182500839
2021-01-21 15:30:00-05:00,UUP,31.37750053,32.01250076,31.37750053,31.78249931,31.78249931,10057,21.21472214,0.404998779
2021-01-22 09:30:00-05:00,UUP,31.20499992,31.36499977,30.71439934,30.72999954,30.72999954,11459,17.20061154,-0.475000381
2021-01-22 10:30:00-05:00,UUP,30.80750084,30.86190033,30.65500069,30.76000023,30.76000023,4283,17.31503064,-0.04750061
2021-01-22 11:30:00-05:00,UUP,30.68250084,30.79997444,30.6800251,30.68837547,30.68837547,3199,17.04186223,0.005874634
2021-01-22 12:30:00-05:00,UUP,30.67002487,30.75,30.52750015,30.75,30.75,2795,17.27689094,0.079975128
2021-01-22 13:30:00-05:00,UUP,30.68000031,30.68499947,30.54000092,30.57500076,30.57500076,2511,16.60946439,-0.104999542
2021-01-22 14:30:00-05:00,UUP,30.56999969,30.6902256,30.56999969,30.64624977,30.64624977,2904,16.88119975,0.076250076
2021-01-22 15:30:00-05:00,UUP,30.64749908,30.66500092,30.50250053,30.50250053,30.50250053,6689,16.33295703,-0.14499855
2021-01-25 09:30:00-05:00,UUP,30.96292496,31.00250053,30.91250038,31,31,8805,18.2303616,0.037075043
2021-01-25 10:30:00-05:00,UUP,30.81435013,30.81435013,29.33749962,30.03750038,30.03750038,37559,14.55950102,-0.776849747
2021-01-25 11:30:00-05:00,UUP,29.90999985,30.27082443,29.57502556,29.5828743,29.5828743,6742,12.8256105,-0.327125549
2021-01-25 12:30:00-05:00,UUP,29.8125,30.32999992,29.78502464,30.32749939,30.32749939,5546,15.6655232,0.51499939
2021-01-25 13:30:00-05:00,UUP,30.36000061,30.37405014,30.21500015,30.22249985,30.22249985,2186,15.26506727,-0.137500763
2021-01-25 14:30:00-05:00,UUP,30.26844978,30.29999924,30.00250053,30.07749939,30.07749939,2857,14.71205255,-0.190950394
2021-01-25 15:30:00-05:00,UUP,30.09000015,30.39500046,30.09000015,30.39249992,30.39249992,1348,15.91342761,0.302499771
2021-01-26 09:30:00-05:00,UUP,30.61750031,30.61750031,29.97500038,30.17749977,30.17749977,13176,15.09344226,-0.440000534
2021-01-26 10:30:00-05:00,UUP,30.22999954,30.28000069,29.97875023,29.97875023,29.97875023,3374,14.33543484,-0.251249313
2021-01-26 11:30:00-05:00,UUP,30.02750015,30.03874969,29.80999947,29.83250046,29.83250046,59739,13.77765537,-0.194999695
2021-01-26 12:30:00-05:00,UUP,29.79999924,30.00502586,29.7859745,30.00499916,30.00499916,1677,14.43554518,0.204999924
2021-01-26 13:30:00-05:00,UUP,29.93000031,29.98587418,29.87000084,29.87000084,29.87000084,1667,13.92067743,-0.059999466
2021-01-26 14:30:00-05:00,UUP,29.80500031,29.83499908,29.74500084,29.74500084,29.74500084,393,13.4439421,-0.059999466
2021-01-26 15:30:00-05:00,UUP,29.66749954,29.70499992,29.57500076,29.60750008,29.60750008,5217,12.91953033,-0.059999466
